State_Description,Hour_Bucket,Demand_Level,Elevator_Distribution,Optimal_Strategy,Q_Value
深夜(0-6)_高_低层集中,0,2,0,"[1, 3, 4, 6, 10, 1, 3, 4]",-1.7000000000000002
深夜(0-6)_高_中层,0,2,1,"[3, 4, 5, 6, 7, 8, 9, 10]",-2.1278609815
早高峰(6-10)_高_低层集中,1,2,0,"[1, 3, 4, 6, 10, 1, 3, 4]",-57.18830953486639
早高峰(6-10)_高_中层,1,2,1,"[1, 2, 3, 4, 5, 6, 7, 8]",-69.39156641051862
工作(10-12)_高_低层集中,2,2,0,"[1, 3, 4, 6, 10, 1, 3, 4]",-39.13436272241028
工作(10-12)_高_中层,2,2,1,"[1, 3, 4, 6, 10, 1, 3, 4]",-53.90386112643504
午餐(12-14)_高_低层集中,3,2,0,"[1, 3, 4, 6, 10, 1, 3, 4]",-68.21320801265898
午餐(12-14)_高_中层,3,2,1,"[1, 2, 3, 4, 5, 6, 7, 8]",-72.65651320144488
下午(14-18)_高_低层集中,4,2,0,"[3, 4, 5, 6, 7, 8, 9, 10]",-79.65049824754243
下午(14-18)_高_中层,4,2,1,"[3, 4, 5, 6, 7, 8, 9, 10]",-59.7322597567333
晚间(18-24)_高_低层集中,5,2,0,"[3, 4, 5, 6, 7, 8, 9, 10]",-78.12385627856735
晚间(18-24)_高_中层,5,2,1,"[3, 4, 5, 6, 7, 8, 9, 10]",-52.22946458305075
