solution_id,AWT,long_wait_ratio,energy,parking_floors
0,8.307446920918352,0.0,4.611965598903153,"[1, 1, 1, 1, 4, 1, 1, 1]"
1,7.618620886849232,0.0,4.719481490714197,"[1, 1, 1, 1, 1, 1, 5, 1]"
2,6.6428253962257955,0.0,4.881278823382774,"[1, 6, 1, 1, 1, 1, 1, 1]"
3,5.795026236358335,0.0,5.357821263866384,"[1, 1, 1, 6, 1, 1, 1, 3]"
4,5.717070497669372,0.0,5.85886825377041,"[6, 4, 1, 1, 1, 1, 1, 1]"
5,5.16686184268363,0.0,6.058494328804686,"[1, 1, 1, 1, 3, 1, 8, 1]"
6,5.078226205092794,0.0,6.075607628069301,"[1, 1, 1, 1, 4, 1, 1, 7]"
7,5.0741141805174585,0.0,6.809435373301757,"[1, 9, 1, 1, 4, 1, 1, 1]"
8,4.603544693513967,0.0,7.270148323569737,"[1, 1, 8, 1, 4, 1, 1, 3]"
9,4.241666380853825,0.0,7.3302006730649385,"[2, 1, 1, 1, 1, 1, 5, 8]"
10,4.180507499387895,0.0,7.634600523494952,"[1, 9, 4, 1, 1, 3, 1, 1]"
11,3.843392150555299,0.0,9.011093107316466,"[4, 5, 1, 1, 10, 1, 1, 1]"
12,3.3601818731479898,0.0,11.600436245793343,"[9, 6, 3, 1, 4, 1, 5, 1]"
13,3.200880898644184,0.0,14.100261747476006,"[3, 1, 1, 4, 10, 7, 5, 4]"
14,2.803538238730618,0.0,15.546802941543064,"[1, 3, 5, 14, 9, 4, 1, 1]"
15,2.7346594957402246,0.0,19.449619842951513,"[4, 6, 3, 14, 1, 5, 5, 8]"
16,2.694655658075057,0.0,19.866932568864513,"[5, 6, 3, 11, 4, 10, 1, 7]"
17,2.6754840369053223,0.0,20.887124517013586,"[1, 5, 3, 14, 9, 4, 5, 8]"
18,2.3571812631129974,0.0,21.215480493580955,"[1, 6, 3, 14, 9, 4, 5, 8]"
