scenario,strategy,avg_wait_time,long_wait_ratio
Morning_Peak,Ground_Floor,37.57647253475057,0.1388888888888889
Morning_Peak,Uniform_Distribution,35.34389241330827,0.0
Morning_Peak,Demand_Based,34.058595862033016,0.0
Morning_Peak,Zone_Based,34.89896631250556,0.0
Morning_Peak,Hybrid,36.66445652643415,0.0
Morning_Peak,Middle_Concentration,35.30589743892025,0.0
Midday,Ground_Floor,39.908161484836334,0.0
Midday,Uniform_Distribution,39.16476967570176,0.0
Midday,Demand_Based,38.31272876411678,0.0
Midday,Zone_Based,38.43078495406402,0.0
Midday,Hybrid,39.11267680974476,0.0
Midday,Middle_Concentration,38.59037494211581,0.0
Afternoon,Ground_Floor,40.06459851613348,0.0
Afternoon,Uniform_Distribution,39.10936196084595,0.0
Afternoon,Demand_Based,37.819480180851386,0.0
Afternoon,Zone_Based,38.289417557839286,0.0
Afternoon,Hybrid,39.1094074457094,0.0
Afternoon,Middle_Concentration,38.33698034247184,0.0
Evening_Peak,Ground_Floor,40.184963469016154,0.0
Evening_Peak,Uniform_Distribution,39.13364011052231,0.0
Evening_Peak,Demand_Based,38.27592173018107,0.0
Evening_Peak,Zone_Based,38.57691365179967,0.0
Evening_Peak,Hybrid,39.3443362008785,0.0
Evening_Peak,Middle_Concentration,38.48019910675373,0.0
